timestamp,coliforms_GA
2016-06-22 10:28:00,240
2016-06-28 15:15:00,330
2016-06-30 10:20:00,290
2016-07-04 09:00:00,500
2016-07-07 08:30:00,380
2016-07-11 12:45:00,2400
2016-07-14 10:02:00,540
2016-07-18 09:10:00,750
2016-07-21 09:45:00,400
2016-07-25 09:25:00,40
2016-07-27 08:50:00,410
2016-07-28 10:30:00,1300
2016-08-01 12:20:00,27
2016-08-04 11:41:00,1900
2016-08-08 12:26:00,480
2016-08-11 09:00:00,54
2016-08-15 09:15:00,320
2016-08-18 09:15:00,6
2016-08-22 08:45:00,1100
2016-08-29 11:01:00,2200
2016-09-01 10:10:00,1000
2016-09-05 12:15:00,520
2016-09-08 11:05:00,640
2016-09-12 10:25:00,660
2016-09-15 10:28:00,440
2016-09-19 11:35:00,1000
2016-09-22 09:30:00,930
2016-09-26 11:10:00,700
2016-09-29 10:30:00,4400
2016-10-03 09:20:00,8600
2016-10-06 09:20:00,590
2016-10-10 11:15:00,570
2016-10-13 10:15:00,460
2016-10-17 13:50:00,60
2016-10-18 11:45:00,60
2016-10-20 11:30:00,380
2016-10-24 09:30:00,4400
2016-10-27 09:40:00,1600
2016-10-31 12:40:00,700
2016-11-01 12:00:00,990
2016-11-03 00:00:00,860
2016-11-07 13:15:00,2200
2016-11-10 11:10:00,1100
2016-11-14 11:15:00,930
2016-11-17 13:40:00,6100
2016-11-21 10:35:00,5200
2016-11-24 11:10:00,2200
2016-11-28 11:55:00,360
2016-12-01 10:15:00,620
2016-12-02 10:25:00,570
2016-12-04 14:25:00,290
2016-12-05 12:40:00,250
2016-12-08 14:15:00,690
2016-12-12 11:00:00,610
2016-12-15 12:20:00,790
2016-12-19 11:10:00,460
2016-12-22 10:40:00,1300
2016-12-26 12:00:00,3100
2016-12-28 13:30:00,1900
2016-12-29 14:40:00,1500
2017-01-02 09:45:00,750
2017-01-05 10:11:00,510
2017-01-09 10:00:00,750
2017-01-12 11:35:00,1800
2017-01-13 00:00:00,4900
2017-01-16 00:00:00,1200
2017-01-19 10:35:00,430
2017-01-23 10:40:00,350
2017-01-26 12:35:00,360
2017-01-30 10:20:00,430
2017-02-02 12:00:00,300
2017-02-06 10:00:00,280
2017-02-09 10:30:00,360
2017-02-13 09:24:00,360
2017-02-16 09:40:00,250
2017-02-20 09:25:00,440
2017-02-23 09:40:00,910
2017-02-27 10:35:00,1400
2017-03-02 10:40:00,1700
2017-03-06 09:50:00,860
2017-03-09 10:00:00,500
2017-03-13 09:40:00,490
2017-03-16 09:25:00,340
2017-03-20 09:50:00,380
2017-03-23 08:15:00,800
2017-03-27 09:40:00,460
2017-03-30 09:50:00,310
2017-04-03 13:30:00,480
2017-04-06 08:20:00,360
2017-04-10 13:40:00,960
2017-04-13 11:40:00,230
2017-04-17 07:00:00,130
2017-04-18 12:35:00,63
2017-04-20 09:30:00,150
2017-04-24 09:00:00,63
2017-04-27 10:08:00,430
2017-05-02 11:45:00,530
2017-05-04 10:55:00,170
2017-05-08 12:00:00,410
2017-05-10 12:00:00,270
2017-05-12 09:20:00,230
2017-05-15 09:30:00,580
2017-05-18 09:40:00,370
2017-05-22 09:50:00,880
2017-05-26 08:20:00,200
2017-05-29 09:40:00,200
2017-06-01 09:55:00,640
2017-06-05 08:13:00,750
2017-06-08 10:00:00,2800
2017-06-12 09:30:00,440
2017-06-14 09:35:00,430
2017-06-15 10:00:00,400
2017-06-19 10:20:00,480
2017-06-20 11:10:00,230
2017-06-22 09:15:00,420
2017-06-26 11:09:00,680
2017-06-29 09:40:00,160
2017-07-03 09:30:00,370
2017-07-06 08:38:00,240
2017-07-10 11:52:00,190
2017-07-13 09:43:00,4
2017-07-17 12:30:00,680
2017-07-20 09:32:00,280
2017-07-24 12:45:00,310
2017-07-27 09:39:00,410
2017-07-31 08:10:00,360
2017-08-03 10:29:00,530
2017-08-07 10:51:00,720
2017-08-10 10:08:00,740
2017-08-15 09:53:00,310
2017-08-17 17:10:00,540
2017-08-21 08:48:00,750
2017-08-24 11:15:00,410
2017-08-25 15:10:00,1400
2017-08-28 08:40:00,500
2017-08-31 13:15:00,890
2017-09-04 09:30:00,470
2017-09-07 08:40:00,14000
2017-09-11 09:55:00,1400
2017-09-15 08:30:00,720
2017-09-18 11:45:00,790
2017-09-22 11:55:00,260
2017-09-25 09:05:00,540
2017-09-28 09:30:00,390
2017-09-29 11:12:00,350
2017-10-02 08:55:00,160
2017-10-04 08:45:00,6500
2017-10-05 11:25:00,2300
2017-10-06 00:00:00,880
2017-10-09 09:00:00,550
2017-10-11 09:02:00,520
2017-10-13 10:02:00,4100
2017-10-13 12:00:00,4100
2017-10-16 09:05:00,370
2017-10-19 08:00:00,770
2017-10-23 10:15:00,1500
2017-10-26 11:30:00,6900
2017-10-30 11:05:00,530
2017-11-02 12:30:00,150
2017-11-06 10:26:00,300
2017-11-09 11:33:00,220
2017-11-13 10:35:00,490
2017-11-16 08:30:00,380
2017-11-20 11:30:00,2900
2017-11-22 11:26:00,270
2017-11-27 12:30:00,1400
2017-11-30 13:45:00,210
2017-12-04 12:05:00,180
2017-12-07 15:00:00,1700
2017-12-11 11:42:00,220
2017-12-14 13:55:00,1000
2017-12-18 11:45:00,160
2017-12-21 10:40:00,660
2017-12-26 09:00:00,740
2017-12-28 12:05:00,660
2018-01-02 12:05:00,1600
2018-01-04 12:30:00,910
2018-01-08 13:30:00,160
2018-01-11 12:15:00,360
2018-01-15 13:10:00,160
2018-01-17 10:25:00,300
2018-01-22 08:00:00,130
2018-01-25 10:55:00,1400
2018-01-29 11:20:00,2100
2018-01-31 11:15:00,2600
2018-02-05 00:00:00,220
2018-02-09 12:00:00,220
2018-02-12 10:30:00,250
2018-02-15 15:00:00,230
2018-02-19 09:10:00,270
2018-02-20 11:00:00,210
2018-02-23 08:50:00,74
2018-02-26 09:40:00,120
2018-02-28 11:00:00,85
2018-03-05 09:05:00,110
2018-03-07 11:07:00,210
2018-03-08 10:05:00,120
2018-03-09 10:35:00,200
2018-03-12 11:15:00,400
2018-03-15 14:15:00,230
2018-03-19 13:30:00,63
2018-03-22 12:05:00,210
2018-03-26 09:40:00,200
2018-03-27 10:51:00,280
2018-03-29 12:40:00,190
2018-04-02 07:10:00,30
2018-04-05 09:50:00,960
2018-04-06 14:00:00,240
2018-04-09 11:06:00,200
2018-04-12 14:05:00,190
2018-04-16 11:35:00,180
2018-04-19 10:05:00,170
2018-04-23 11:43:00,360
2018-04-26 12:50:00,130
2018-04-30 11:30:00,52
2018-05-03 10:35:00,910
2018-05-07 12:10:00,200
2018-05-11 07:14:00,190
2018-05-14 14:00:00,260
2018-05-17 11:30:00,200
2018-05-21 10:00:00,140
2018-05-24 09:35:00,180
2018-05-28 10:10:00,63
2018-05-31 11:20:00,270
2018-06-04 11:10:00,290
2018-06-07 13:45:00,420
2018-06-11 11:10:00,220
2018-06-14 12:45:00,310
2018-06-18 10:30:00,230
2018-06-19 09:30:00,310
2018-06-21 09:50:00,450
2018-06-25 11:25:00,200
2018-06-28 10:20:00,350
2018-07-02 10:15:00,380
2018-07-05 10:35:00,180
2018-07-09 11:08:00,260
2018-07-12 08:30:00,310
2018-07-16 10:55:00,380
2018-07-19 10:50:00,280
2018-07-23 10:55:00,41
2018-07-27 09:13:00,350
2018-07-30 10:44:00,290
2018-08-02 11:30:00,560
2018-08-06 11:00:00,1300
2018-08-09 12:30:00,480
2018-08-13 12:15:00,630
2018-08-16 11:45:00,370
2018-08-20 12:38:00,360
2018-08-23 12:40:00,370
2018-08-27 11:39:00,190
2018-08-30 13:20:00,140
2018-09-03 09:00:00,790
2018-09-05 11:00:00,170
2018-09-10 11:10:00,3700
2018-09-13 11:11:00,580
2018-09-17 12:20:00,2000
2018-09-21 13:00:00,360
2018-09-24 09:30:00,360
2018-09-27 11:30:00,410
2018-10-01 10:00:00,450
2018-10-05 12:30:00,650
2018-10-08 10:30:00,360
2018-10-09 11:52:00,2600
2018-10-11 11:23:00,660
2018-10-15 11:35:00,360
2018-10-18 10:05:00,300
2018-10-22 12:00:00,590
2018-10-26 10:00:00,800
2018-10-29 11:55:00,500
2018-11-01 11:15:00,3100
2018-11-05 10:30:00,460
2018-11-08 11:45:00,480
2018-11-12 10:10:00,1600
2018-11-14 13:02:00,1600
2018-11-19 10:15:00,500
2018-11-22 10:40:00,260
2018-11-26 10:40:00,330
2018-11-29 10:50:00,270
2018-12-03 09:30:00,2500
2018-12-06 11:45:00,3300
2018-12-10 11:00:00,2900
2018-12-12 10:30:00,2800
2018-12-14 10:00:00,550
2018-12-17 10:50:00,360
2018-12-20 10:45:00,470
2018-12-24 06:20:00,1100
2018-12-27 09:55:00,730
2018-12-31 06:15:00,580
2019-01-03 10:30:00,350
2019-01-07 10:25:00,200
2019-01-10 11:00:00,790
2019-01-14 08:45:00,470
2019-01-16 11:40:00,370
2019-01-21 09:43:00,1300
2019-01-25 09:30:00,330
2019-01-28 09:58:00,570
2019-01-31 09:46:00,910
2019-02-04 10:00:00,2600
2019-02-08 08:42:00,2000
2019-02-11 09:35:00,5800
2019-02-13 12:30:00,2900
2019-02-14 12:05:00,1600
2019-02-15 13:40:00,570
2019-02-18 10:50:00,740
2019-02-22 08:50:00,1800
2019-02-25 10:08:00,660
2019-02-28 10:55:00,130
2019-03-04 09:41:00,370
2019-03-07 09:40:00,1200
2019-03-11 10:15:00,600
2019-03-13 10:30:00,560
2019-03-18 10:16:00,910
2019-03-21 07:40:00,790
2019-03-25 10:10:00,310
2019-03-27 13:20:00,370
2019-04-01 10:03:00,160
2019-04-03 13:30:00,200
2019-04-05 11:45:00,110
2019-04-08 10:20:00,96
2019-04-10 10:20:00,20
2019-04-15 10:00:00,20
2019-04-17 09:20:00,63
2019-04-23 11:00:00,20
2019-04-25 11:20:00,60
2019-04-29 09:30:00,190
2019-05-02 09:15:00,200
2019-05-06 11:55:00,150
2019-05-08 09:40:00,280
2019-05-09 09:45:00,160
2019-05-13 09:20:00,98
2019-05-16 08:20:00,100
2019-05-20 09:20:00,700
2019-05-23 13:50:00,63
2019-05-27 10:00:00,190
2019-05-31 10:00:00,190
2019-06-03 09:30:00,110
2019-06-07 11:55:00,120
2019-06-10 10:30:00,250
2019-06-13 09:50:00,170
2019-06-14 09:50:00,170
2019-06-17 09:40:00,210
2019-06-19 12:50:00,86
2019-06-20 14:00:00,220
2019-06-24 09:10:00,60
2019-06-27 11:00:00,41
2019-07-01 09:10:00,150
2019-07-03 09:20:00,170
2019-07-09 09:50:00,160
2019-07-12 11:20:00,52
2019-07-15 09:05:00,190
2019-07-17 11:05:00,170
2019-07-22 11:40:00,420
2019-07-24 12:00:00,250
2019-07-25 14:15:00,210
2019-07-26 09:10:00,330
2019-07-29 13:05:00,560
2019-07-31 10:20:00,910
2019-08-02 09:43:00,910
2019-08-05 11:00:00,470
2019-08-06 12:03:00,780
2019-08-07 12:30:00,350
2019-08-12 13:30:00,750
2019-08-14 09:40:00,690
2019-08-19 13:20:00,960
2019-08-22 11:22:00,420
2019-08-26 10:15:00,540
2019-08-29 11:20:00,4400
2019-09-02 11:15:00,2200
2019-09-04 08:15:00,1700
2019-09-09 10:15:00,2100
2019-09-11 09:15:00,700
2019-09-16 09:30:00,12000
2019-09-19 10:15:00,580
2019-09-23 10:20:00,400
2019-09-25 08:50:00,360
2019-09-26 09:50:00,490
2019-09-30 10:10:00,13000
2019-10-03 08:55:00,1200
2019-10-07 12:22:00,280
2019-10-09 09:10:00,860
2019-10-10 09:30:00,690
