timestamp,colifast_LAE
2012-08-08 09:14:00,50
2012-08-08 19:14:00,100
2012-08-09 09:14:00,100
2012-08-09 18:14:00,100
2012-08-10 10:11:00,200
2012-08-10 20:04:00,50
2012-08-11 10:04:00,<50
2012-08-11 20:04:00,<50
2012-08-12 10:04:00,50
2012-08-12 20:04:00,50
2012-08-13 10:04:00,<50
2012-08-13 20:04:00,50
2012-08-14 10:04:00,50
2012-08-14 20:04:00,<50
2012-08-15 10:04:00,<50
2012-08-15 20:04:00,<50
2012-08-16 10:04:00,<50
2012-08-16 20:04:00,<50
2012-08-17 10:04:00,50
2012-08-17 20:04:00,<50
2012-08-18 10:04:00,<50
2012-08-18 20:04:00,<50
2012-08-19 10:04:00,50
2012-08-19 20:04:00,50
2012-08-20 10:04:00,<50
2012-08-20 20:04:00,50
2012-08-21 10:04:00,50
2012-08-21 20:04:00,<50
2012-08-22 10:04:00,<50
2012-08-22 20:04:00,<50
2012-08-23 10:04:00,<50
2012-08-23 20:04:00,<50
2012-08-24 10:04:00,400
2012-08-24 20:04:00,<50
2012-08-25 10:04:00,<50
2012-08-25 20:04:00,100
2012-08-26 10:04:00,50
2012-08-26 20:04:00,50
2012-08-27 10:04:00,<50
2012-08-27 20:04:00,<50
2012-08-28 10:04:00,<50
2012-08-28 20:04:00,50
2012-08-29 10:04:00,<50
2012-08-29 20:04:00,50
2012-08-30 10:04:00,<50
2012-08-30 20:04:00,<50
2012-08-31 10:04:00,<50
2012-08-31 20:04:00,50
2012-09-01 10:04:00,<50
2012-09-01 20:04:00,<50
2012-09-02 10:04:00,50
2012-09-02 20:04:00,50
2012-09-03 10:04:00,<50
2012-09-03 20:04:00,<50
2012-09-04 10:04:00,<50
2012-09-04 20:04:00,50
2012-09-05 10:04:00,<50
2012-09-05 20:04:00,50
2012-09-06 10:04:00,50
2012-09-06 19:04:00,<50
2012-09-07 09:30:00,50
2012-09-07 19:30:00,<50
2012-09-08 09:30:00,100
2012-09-08 19:30:00,50
2012-09-09 09:30:00,100
2012-09-09 19:30:00,100
