timestamp,ecoli_SN
2018-02-23 09:16:00,10
2018-03-08 09:20:00,120
2018-03-22 11:30:00,97
2018-04-05 09:15:00,280
2018-04-19 09:27:00,96
2018-05-03 09:45:00,410
2018-05-17 08:30:00,20
2018-05-31 10:45:00,63
2018-06-07 10:00:00,180
2018-06-14 13:20:00,96
2018-06-21 10:45:00,130
2018-06-28 09:15:00,10
2018-07-05 09:47:00,41
2018-07-12 09:15:00,220
2018-07-19 10:30:00,20
2018-07-27 10:14:00,0
2018-08-02 12:15:00,41
2018-08-09 11:45:00,60
2018-08-16 11:09:00,30
2018-08-23 12:02:00,41
2018-08-30 12:09:00,31
2018-09-05 12:00:00,31
2018-09-13 10:38:00,200
2018-09-21 12:30:00,41
2018-09-27 13:50:00,63
2018-10-05 13:15:00,230
2018-10-09 12:24:00,610
2018-10-11 13:40:00,120
2018-10-18 09:31:00,190
2018-10-26 09:25:00,130
2018-11-01 12:20:00,310
2018-11-08 12:24:00,63
2018-11-14 14:00:00,250
2018-11-22 11:40:00,63
2018-11-29 11:50:00,50
2018-12-06 12:45:00,260
2018-12-12 11:44:00,330
2018-12-20 11:30:00,120
2018-12-27 10:45:00,120
2019-01-03 09:55:00,170
2019-01-10 11:40:00,280
2019-01-14 09:36:00,180
2019-01-16 11:00:00,110
2019-01-21 10:40:00,64
2019-02-04 09:30:00,130
2019-02-11 09:00:00,1500
2019-02-13 10:10:00,1400
2019-02-18 10:15:00,300
2019-02-25 09:42:00,280
2019-03-04 10:20:00,230
2019-03-11 11:00:00,180
2019-03-13 09:50:00,380
2019-03-18 09:45:00,320
2019-03-25 09:45:00,240
2019-04-01 09:32:00,140
2019-04-08 09:40:00,41
2019-04-10 09:40:00,63
2019-04-15 09:30:00,60
2019-04-23 10:25:00,52
2019-04-29 08:50:00,85
2019-05-06 11:25:00,60
2019-05-13 10:00:00,10
2019-05-20 08:45:00,90
2019-05-27 10:40:00,31
2019-06-03 09:00:00,10
2019-06-10 09:50:00,52
2019-06-11 09:20:00,52
2019-06-17 10:15:00,20
2019-06-24 08:45:00,20
2019-07-01 08:30:00,10
2019-07-09 09:20:00,10
2019-07-15 08:40:00,10
2019-07-17 10:20:00,20
2019-07-22 10:40:00,52
2019-07-29 10:30:00,75
2019-08-05 10:20:00,30
2019-08-12 12:52:00,120
2019-08-14 10:30:00,110
2019-08-19 11:20:00,63
2019-08-26 09:50:00,10
2019-09-02 10:40:00,41
2019-09-09 09:50:00,190
2019-09-11 08:40:00,190
2019-09-16 09:05:00,430
2019-09-23 09:40:00,86
2019-09-30 09:40:00,960
2019-10-07 13:03:00,150
2019-10-09 10:15:00,170
2019-10-14 08:45:00,440
2019-10-21 09:30:00,380
2019-10-28 12:10:00,350
2019-11-04 09:50:00,230
2019-11-11 09:18:00,75
2019-11-13 09:00:00,120
2019-11-18 10:30:00,330
2019-11-25 09:35:00,230
2019-12-02 09:30:00,160
2019-12-09 10:20:00,640
2019-12-11 09:05:00,450
2019-12-16 11:50:00,280
2019-12-23 09:50:00,96
