SampleID,Location,Date,Escherichia_coli_per100ml
R1200515-45,GÄVGAXXS,2012-06-21 04:09,50
R1200515-46,GÄVGAXXS,2012-06-21 18:09,100
R1200515-47,GÄVGAXXS,2012-06-22 04:09,100
R1200515-48,GÄVGAXXS,2012-06-22 18:09,50
R1200515-49,GÄVGAXXS,2012-06-23 04:09,100
R1200515-50,GÄVGAXXS,2012-06-23 18:09,<50
R1200515-51,GÄVGAXXS,2012-06-24 04:09,200
R1200515-52,GÄVGAXXS,2012-06-24 18:09,100
R1200515-53,GÄVGAXXS,2012-06-25 04:09,400
R1200515-54,GÄVGAXXS,2012-06-25 18:09,>400
R1200515-55,GÄVGAXXS,2012-06-26 03:09,400
R1200533-00,GÄVGAXXS,2012-06-28 13:00,200
R1200533-01,GÄVGAXXS,2012-06-28 22:54,100
R1200533-02,GÄVGAXXS,2012-06-29 12:54,100
R1200533-03,GÄVGAXXS,2012-06-29 22:54,100
R1200533-04,GÄVGAXXS,2012-06-30 12:54,50
R1200533-05,GÄVGAXXS,2012-06-30 22:54,<50
R1200533-06,GÄVGAXXS,2012-07-01 12:54,400
R1200533-07,GÄVGAXXS,2012-07-01 22:54,100
R1200539-00,GÄVGAXXS,2012-07-02 14:19,100
R1200539-01,GÄVGAXXS,2012-07-03 00:13,100
R1200539-02,GÄVGAXXS,2012-07-03 14:13,100
R1200539-03,GÄVGAXXS,2012-07-04 00:13,50
R1200539-04,GÄVGAXXS,2012-07-04 14:13,100
R1200539-05,GÄVGAXXS,2012-07-05 00:13,200
R1200539-06,GÄVGAXXS,2012-07-05 14:13,<50
R1200539-07,GÄVGAXXS,2012-07-06 00:13,50
R1200539-08,GÄVGAXXS,2012-07-06 14:13,50
R1200539-09,GÄVGAXXS,2012-07-07 00:13,400
R1200539-10,GÄVGAXXS,2012-07-07 14:13,>400
R1200539-11,GÄVGAXXS,2012-07-08 00:13,200
R1200539-12,GÄVGAXXS,2012-07-08 14:13,200
R1200539-13,GÄVGAXXS,2012-07-09 00:13,50
R1200549-00,GÄVGAXXS,2012-07-09 15:20,50
R1200549-01,GÄVGAXXS,2012-07-10 01:14,50
R1200549-02,GÄVGAXXS,2012-07-10 15:14,200
R1200549-03,GÄVGAXXS,2012-07-11 01:14,<50
R1200600-00,GÄVGAXXS,2012-07-11 14:16,50
R1200600-01,GÄVGAXXS,2012-07-12 00:10,400
R1200600-02,GÄVGAXXS,2012-07-12 14:10,100
R1200600-03,GÄVGAXXS,2012-07-13 00:10,<50
R1200600-04,GÄVGAXXS,2012-07-13 14:10,<50
R1200600-05,GÄVGAXXS,2012-07-14 00:10,100
R1200600-06,GÄVGAXXS,2012-07-14 14:10,50
